Date,Clicks,Impressions,CTR,Position
2026-02-02,117,6282,1.86%,7.3
2026-02-03,94,4780,1.97%,6.6
2026-02-04,101,4887,2.07%,7.4
2026-02-05,76,4369,1.74%,9.1
2026-02-06,59,3377,1.75%,7.8
2026-02-07,56,2436,2.3%,7.7
2026-02-08,92,3423,2.69%,10.4
2026-02-09,82,3638,2.25%,7.5
2026-02-10,88,3442,2.56%,7
2026-02-11,156,4335,3.6%,6.4
2026-02-12,124,3826,3.24%,6.8
2026-02-13,95,3147,3.02%,8.2
2026-02-14,87,2291,3.8%,8.9
2026-02-15,91,2847,3.2%,8.8
2026-02-16,82,3468,2.36%,6.6
2026-02-17,82,4022,2.04%,6.4
2026-02-18,125,3258,3.84%,7
2026-02-19,75,2625,2.86%,8.2
2026-02-20,81,2408,3.36%,6.9
2026-02-21,59,2207,2.67%,7.2
2026-02-22,100,2926,3.42%,8.1
2026-02-23,128,3198,4%,7.6
2026-02-24,132,3326,3.97%,7.4
2026-02-25,102,3151,3.24%,7.2
2026-02-26,86,3187,2.7%,7
2026-02-27,68,2155,3.16%,7.3
2026-02-28,37,1231,3.01%,8.5
2026-03-01,50,2274,2.2%,10.4
2026-03-02,62,1736,3.57%,8.7
2026-03-03,63,1833,3.44%,7.4
2026-03-04,35,1506,2.32%,7.6
2026-03-05,57,1826,3.12%,6.5
2026-03-06,42,1361,3.09%,5.3
2026-03-07,36,921,3.91%,7.1
2026-03-08,48,1307,3.67%,9.1
2026-03-09,46,1622,2.84%,4.7
2026-03-10,45,1439,3.13%,4.7
2026-03-11,53,1621,3.27%,6.4
2026-03-12,45,1508,2.98%,5.1
2026-03-13,40,1078,3.71%,6.2
2026-03-14,19,796,2.39%,6.3
2026-03-15,38,998,3.81%,11.6
2026-03-16,33,839,3.93%,6.5
2026-03-17,25,799,3.13%,6.8
2026-03-18,15,800,1.88%,4.6
2026-03-19,16,779,2.05%,6.4
2026-03-20,21,684,3.07%,7.3
2026-03-21,23,631,3.65%,5.9
2026-03-22,25,856,2.92%,9.2
2026-03-23,24,936,2.56%,4.3
2026-03-24,27,1087,2.48%,6.2
2026-03-25,49,1328,3.69%,5
2026-03-26,29,1282,2.26%,4.9
2026-03-27,16,1127,1.42%,5.1
2026-03-28,12,841,1.43%,7.5
2026-03-29,25,3743,0.67%,12.1
2026-03-30,37,3000,1.23%,11.3
2026-03-31,28,1408,1.99%,6.6
2026-04-01,47,1490,3.15%,6.5
2026-04-02,22,1235,1.78%,6.1
2026-04-03,29,1424,2.04%,6
2026-04-04,24,1325,1.81%,6.7
2026-04-05,37,1844,2.01%,7.4
2026-04-06,69,2655,2.6%,6.2
2026-04-07,61,2715,2.25%,4.8
2026-04-08,73,2765,2.64%,5.2
2026-04-09,62,2923,2.12%,5.3
2026-04-10,60,2475,2.42%,5.9
2026-04-11,41,2017,2.03%,5.2
2026-04-12,42,2372,1.77%,6.5
2026-04-13,61,2851,2.14%,5.8
2026-04-14,58,2844,2.04%,6.3
2026-04-15,76,3060,2.48%,6.3
2026-04-16,71,2513,2.83%,6.7
2026-04-17,50,2191,2.28%,6.2
2026-04-18,45,2020,2.23%,6.7
2026-04-19,69,2329,2.96%,6.6
2026-04-20,83,2462,3.37%,7.6
2026-04-21,77,2355,3.27%,8.3
2026-04-22,85,2504,3.39%,7.9
2026-04-23,79,2741,2.88%,7.8
2026-04-24,63,2026,3.11%,7.4
2026-04-25,50,1732,2.89%,7.5
2026-04-26,69,2442,2.83%,7.8
2026-04-27,99,2724,3.63%,7.5
2026-04-28,89,2804,3.17%,7.1
2026-04-29,93,7343,1.27%,11.7
2026-04-30,79,3256,2.43%,8.7
2026-05-01,58,2459,2.36%,7.4
2026-05-02,45,2060,2.18%,7.2
2026-05-03,77,2543,3.03%,7.8
2026-05-04,92,6937,1.33%,11.4
2026-05-05,92,3777,2.44%,8.6
2026-05-06,106,3238,3.27%,7.2
2026-05-07,88,5880,1.5%,11.3
2026-05-08,102,2682,3.8%,7.5
2026-05-09,51,2215,2.3%,8.3
2026-05-10,79,2791,2.83%,8.1
2026-05-11,89,3428,2.6%,8.2
2026-05-12,84,3048,2.76%,8.5
2026-05-13,89,2672,3.33%,8.9
2026-05-14,75,2849,2.63%,9.1
2026-05-15,80,2449,3.27%,8
2026-05-16,74,2044,3.62%,8.6
2026-05-17,65,2921,2.23%,8.6
2026-05-18,104,3495,2.98%,8.5
2026-05-19,99,3237,3.06%,7.4
2026-05-20,75,3340,2.25%,7.2
2026-05-21,99,3217,3.08%,7.6
2026-05-22,77,2462,3.13%,8.1
2026-05-23,65,1910,3.4%,7.5
2026-05-24,65,2295,2.83%,9.4
2026-05-25,55,2583,2.13%,9.4
2026-05-26,47,1675,2.81%,7.6
2026-05-27,43,1669,2.58%,8.3
2026-05-28,53,2188,2.42%,8.2
2026-05-29,56,4582,1.22%,11.4
2026-05-30,30,1669,1.8%,8.9
2026-05-31,61,1657,3.68%,9.1